objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
10259,{2CBACAD1-49B6-4D8D-8F25-A3F415A9C586},roadway,About Coffee,ABOUT COFFEE LLC,ABOUT COFFEE,71,SULLIVAN STREET,Manhattan,10012,"71 SULLIVAN STREET, Manhattan, NY",50047872,,,,10,5,50,no,yes,no,,,no,,yes,08/14/2020 05:08:00 PM,40.724625,-74.003889,2,3,47,1007347,1004890008,SoHo-TriBeCa-Civic Center-Little Italy
8893,{5479AC6A-8D75-4343-8C9F-340B62696C67},sidewalk,Gregorys Coffee,Niko Coffee LLC,Niko Coffee LLC,58,West 44th,Manhattan,10036,"58 West 44th, Manhattan, NY",50047718,30,15,450,,,,yes,no,no,,,no,,yes,07/19/2020 01:35:00 PM,,,,,,,,
10307,{8B19037F-CA5A-4337-8248-5AC6116351F2},sidewalk,Gregorys Coffee,649 Broadway Coffee and Bakery LLC,649 Broadway Coffee and Bakery LLC,649,Broadway,Manhattan,10012,"649 Broadway, Manhattan, NY",50053975,25,15,375,,,,yes,no,no,,,no,,yes,08/17/2020 08:16:00 AM,40.726794,-73.995631,2,1,5501,1077824,1005320020,West Village
11871,{59583760-6479-493F-801E-633A228E45CD},sidewalk,STUMPTOWN COFFEE ROASTERS,STUMPTOWN COFFEE CORP,STUMPTOWN COFFEE ROASTERS,undefined,30 WEST    8 STREET,Manhattan,10011,"30 WEST    8 STREET, Manhattan, NY",41713782,125,12,1500,,,,yes,no,no,,,yes,yes,yes,02/23/2021 02:57:00 PM,40.73275,-73.997546,2,1,63,1080114,1005510019,West Village
7848,{A69228BC-69C7-4B68-861C-3A1266EF0D92},sidewalk,Gregorys Coffee,20 E 40 Coffee and Bakery LLC,20 E 40 Coffee and Bakery LLC,20,East 40th,Manhattan,10016,"20 East 40th, Manhattan, NY",50018146,30,15,450,,,,yes,no,no,,,no,,yes,07/09/2020 12:07:00 PM,,,,,,,,
9108,{816400D4-B210-4EB1-857B-31F4159BD849},openstreets,Black Fox Coffee,Black Fox Coffee 70 Pine LLC,Black Fox Coffee,70,pine,Manhattan,10005,"70  pine, Manhattan, NY",50094234,,,,,,,no,no,no,,,yes,yes,yes,07/22/2020 11:33:00 AM,,,,,,,,
11018,{42E2A0AF-A2B9-44C9-8783-02AAADB2E518},roadway,JOE COFFEE COMPANY,JAGR AMSTERDAM LLC,JOE COFFEE COMPANY,undefined,271 1/2 AMSTERDAM AVENUE,Manhattan,10023,"271 1/2 AMSTERDAM AVENUE, Manhattan, NY",50076369,,,,20,8,160,no,yes,no,,,yes,yes,yes,09/17/2020 01:42:00 PM,,,,,,,,
130,eaa3afb2-3538-43ad-83b0-604df65114e2,sidewalk,jacks stir brew coffee,jacks stir brew coffee,jacks stir brew coffee,10,10 downing street,Manhattan,10014,"10  10 downing street, Manhattan, NY",41694453,15,15,225,,,,yes,no,no,,,no,,yes,06/19/2020 11:18:00 AM,,,,,,,,
623,e93ea19c-fddc-4f74-8428-fd87ea336806,sidewalk,Ateaz Organic Coffee and Tea,Gurupalah Inc,Ateaz Organic Coffee and Tea,1575,1575 Second ave,Manhattan,10028,"1575 1575 Second ave , Manhattan, NY",82-3901005,35,20,700,,,,yes,no,no,,,no,,yes,06/19/2020 01:11:00 PM,,,,,,,,
885,2f60eb5a-7968-44f3-856b-44865104b67a,sidewalk,Gregorys Coffee,GDK Food Enterprises LLC,GDK Food Enterprises LLC,327,Park South,Manhattan,10010,"327 Park South, Manhattan, NY",50048644,16,7,112,,,,yes,no,no,,,no,,yes,06/19/2020 02:19:00 PM,,,,,,,,
