CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50107433,CAFE GOSSIP,Brooklyn,1687,86 STREET,11214,7189754688,American,07/22/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,N,,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.608799558647,-74.005186178982,311,43,018000,3165701,3063420049,BK27
50103852,ANDY'S CAFETERIA,Brooklyn,451,CLARKSON AVENUE,11203,7189266224,American,07/26/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,07/26/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.655754995052,-73.944580398327,309,40,080800,3327711,3048290001,BK60
50103852,ANDY'S CAFETERIA,Brooklyn,451,CLARKSON AVENUE,11203,7189266224,American,07/26/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,07/26/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.655754995052,-73.944580398327,309,40,080800,3327711,3048290001,BK60
40944072,SUPERFINE,Brooklyn,126,FRONT STREET,11201,7182439005,American,07/23/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10,A,07/23/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.702437131351,-73.987492341214,302,33,002100,3000135,3000530009,BK38
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,9176764185,Bakery Products/Desserts,07/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,67,N,,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.684024527109,-73.870887321575,305,37,118400,3092391,3041320165,BK83
50033347,NEW HARDEE,Brooklyn,854,FRANKLIN AVENUE,11225,7184938485,Chinese,07/26/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,48,,,09/09/2021,Cycle Inspection / Initial Inspection,40.669029168607,-73.958573890738,309,35,021300,3029698,3011870060,BK63
41123001,SAZON PEREZ RESTAURANT,Brooklyn,417,SOUTH    4 STREET,11211,7182187993,Latin American,07/28/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,20,,,09/09/2021,Cycle Inspection / Initial Inspection,40.707587550218,-73.951087218897,301,34,052700,3063393,3024390018,BK73
40946431,MCDONALD'S,Brooklyn,1883,ATLANTIC AVENUE,11233,7189535864,Hamburgers,07/28/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,07/28/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.676970244258,-73.922408686135,303,41,029900,3048267,3017140001,BK61
40946431,MCDONALD'S,Brooklyn,1883,ATLANTIC AVENUE,11233,7189535864,Hamburgers,07/28/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,07/28/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.676970244258,-73.922408686135,303,41,029900,3048267,3017140001,BK61
50055382,ANGELICA'S CAFE,Brooklyn,424,CHURCH AVENUE,11218,3474425226,American,07/30/2021,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,64,,,09/09/2021,Cycle Inspection / Initial Inspection,40.644108862432,-73.976289454057,312,39,049400,3124664,3053370062,BK41
50107843,CATERINA PIZZA,Brooklyn,3035,FULTON STREET,11208,7182772571,Pizza,07/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30,N,,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.680565085986,-73.882705360106,305,37,116800,3087718,3039430020,BK82
50064184,CAFE D'AVIGNON,Brooklyn,445,ALBEE SQUARE WEST,11201,9177153556,Sandwiches,07/21/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,07/21/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.690826232689,-73.98345224546,302,33,001500,3397861,3001497501,BK38
50055636,PANDA EXPRESS 2614,Brooklyn,423,FULTON STREET,11201,7182463898,Chinese,07/26/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,07/26/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.691757284893,-73.988074920201,302,33,001100,3000374,3001500011,BK38
50107105,FALLSBURGH BAGELS,Brooklyn,4602,16 AVENUE,11204,7188533323,Other,07/30/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,59,N,,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.63262326755,-73.983866644365,312,44,023400,3128591,3054367504,BK88
50088239,J.A. JAM DOWN CARIBBEAN RESTAURANT,Brooklyn,5223,AVENUE D,11203,7184848618,Caribbean,07/26/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,07/26/2021,09/09/2021,Cycle Inspection / Initial Inspection,40.64227383207,-73.92711910143,317,45,084600,3105867,3047730041,BK96
50103207,HUNGRY GHOST,Brooklyn,231,BEDFORD AVENUE,11211,2022706688,Coffee/Tea,07/23/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,N,,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.716072202564,-73.959597880295,301,34,055300,3335728,3023520006,BK73
50073241,YAMASHIRO,Brooklyn,466,MYRTLE AVENUE,11205,7182303313,Japanese,07/28/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,09/09/2021,Cycle Inspection / Initial Inspection,40.693347769793,-73.966658019206,302,35,019500,3054861,3019040025,BK69
50104882,LEVAIN BAKERY,Brooklyn,164,NORTH    4 STREET,11211,9174643785,Bakery Products/Desserts,07/23/2021,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,4,A,07/23/2021,09/09/2021,Pre-permit (Operational) / Initial Inspection,40.715830445289,-73.958984783133,301,34,055300,3062371,3000000000,BK73
41168644,TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235,7186760783,Russian,07/20/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,09/09/2021,Cycle Inspection / Initial Inspection,40.587828989353,-73.955247301157,315,48,060600,3389066,3074590001,BK17
