NTA,NTA_Name
BK88,Borough Park
QN51,Murray Hill
QN27,East Elmhurst
BK25,Homecrest
QN41,Fresh Meadows-Utopia
QN08,St. Albans
BK69,Clinton Hill
QN33,Cambria Heights
BK43,Midwood
QN68,Queensbridge-Ravenswood-Long Island City
BX40,Fordham South
BK26,Gravesend
BK46,Ocean Parkway South
BX55,Soundview-Bruckner
QN19,Glendale
BX28,Van Cortlandt Village
BK27,Bath Beach
QN23,College Point
QN21,Middle Village
BK85,East New York (Pennsylvania Ave)
QN55,South Ozone Park
SI48,Arden Heights
BX52,Schuylerville-Throgs Neck-Edgewater Park
SI01,Annadale-Huguenot-Prince's Bay-Eltingville
BX26,Highbridge
BX06,Belmont
BK40,Windsor Terrace
BK50,Canarsie
BK58,Flatlands
BX09,Soundview-Castle Hill-Clason Point-Harding Park
SI11,Charleston-Richmond Valley-Tottenville
BK61,Crown Heights North
SI32,Rossville-Woodrow
MN12,Upper West Side
BX43,Norwood
BX05,Bedford Park-Fordham North
BX41,Mount Hope
BK64,Prospect Heights
BX03,Eastchester-Edenwald-Baychester
BX13,Co-op City
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
BK33,Carroll Gardens-Columbia Street-Red Hook
MN34,East Harlem North
QN56,Ozone Park
BX10,Pelham Bay-Country Club-City Island
BX99,park-cemetery-etc-Bronx
QN22,Flushing
BK34,Sunset Park East
BX44,Williamsbridge-Olinville
QN15,Far Rockaway-Bayswater
QN42,Oakland Gardens
QN26,North Corona
BK30,Dyker Heights
SI07,Westerleigh
BK19,Brighton Beach
BK23,West Brighton
QN17,Forest Hills
QN18,Rego Park
BK68,Fort Greene
MN20,Murray Hill-Kips Bay
BK63,Crown Heights South
BK93,Starrett City
QN28,Jackson Heights
QN63,Woodside
QN35,Briarwood-Jamaica Hills
MN19,Turtle Bay-East Midtown
BK76,Greenpoint
BK31,Bay Ridge
SI05,New Springville-Bloomfield-Travis
MN31,Lenox Hill-Roosevelt Island
QN31,Hunters Point-Sunnyside-West Maspeth
QN53,Woodhaven
QN49,Whitestone
BX27,Hunts Point
BX39,Mott Haven-Port Morris
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
QN03,Springfield Gardens South-Brookville
QN02,Springfield Gardens North
QN66,Laurelton
BK73,North Side-South Side
MN21,Gramercy
BK79,Ocean Hill
MN50,Stuyvesant Town-Cooper Village
BX33,Longwood
MN25,Battery Park City-Lower Manhattan
BK81,Brownsville
QN47,Ft. Totten-Bay Terrace-Clearview
QN52,East Flushing
BX34,Melrose South-Mott Haven North
QN62,Queensboro Hill
BX35,Morrisania-Melrose
BX75,Crotona Park East
BX08,West Farms-Bronx River
QN37,Kew Gardens Hills
BX46,Parkchester
BX31,Allerton-Pelham Gardens
QN38,Pomonok-Flushing Heights-Hillcrest
BX59,Westchester-Unionport
BX37,Van Nest-Morris Park-Westchester Square
BX49,Pelham Parkway
BX30,Kingsbridge Heights
BX36,University Heights-Morris Heights
BK72,Williamsburg
BX22,North Riverdale-Fieldston-Riverdale
BX07,Bronxdale
BK44,Madison
QN34,Queens Village
SI08,Grymes Hill-Clifton-Fox Hills
SI35,New Brighton-Silver Lake
QN01,South Jamaica
BK95,Erasmus
QN76,Baisley Park
BK91,East Flatbush-Farragut
SI22,West New Brighton-New Brighton-St. George
QN98,Airport
BK60,Prospect Lefferts Gardens-Wingate
SI36,Old Town-Dongan Hills-South Beach
SI45,New Dorp-Midland Beach
SI25,Oakwood-Oakwood Beach
BX29,Spuyten Duyvil-Kingsbridge
