District,Grade,Year,Category,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
1,All Grades,2013-14,All Students,2088851,187879,1900972,91.0,12617,3472,27.5
1,All Grades,2014-15,All Students,2064610,171200,1893410,91.7,12295,3160,25.7
1,All Grades,2015-16,All Students,1995704,169094,1826610,91.5,12137,3206,26.4
1,All Grades,2016-17,All Students,1946012,161756,1784256,91.7,11916,3110,26.1
1,All Grades,2017-18,All Students,1946527,167998,1778529,91.4,11762,3244,27.6
1,All Grades,2018-19,All Students,1925995,175153,1750842,90.9,11593,3364,29.0
1,PK in K-12 Schools,2013-14,All Students,85819,9009,76810,89.5,522,217,41.6
1,PK in K-12 Schools,2014-15,All Students,83976,8980,74996,89.3,512,226,44.1
1,PK in K-12 Schools,2015-16,All Students,72713,6565,66148,91.0,452,168,37.2
1,PK in K-12 Schools,2016-17,All Students,76542,8572,67970,88.8,471,205,43.5
1,PK in K-12 Schools,2017-18,All Students,73863,8197,65666,88.9,452,188,41.6
1,PK in K-12 Schools,2018-19,All Students,75544,8151,67393,89.2,455,195,42.9
1,0K,2013-14,All Students,169807,14312,155495,91.6,1010,298,29.5
1,0K,2014-15,All Students,163331,12214,151117,92.5,949,256,27.0
1,0K,2015-16,All Students,159221,12754,146467,92.0,964,286,29.7
1,0K,2016-17,All Students,149050,11889,137161,92.0,902,264,29.3
1,0K,2017-18,All Students,151330,13877,137453,90.8,900,327,36.3
1,0K,2018-19,All Students,142387,13705,128682,90.4,838,307,36.6
1,1,2013-14,All Students,165595,11727,153868,92.9,973,240,24.7
1,1,2014-15,All Students,169083,10612,158471,93.7,977,182,18.6
1,1,2015-16,All Students,161320,10181,151139,93.7,959,223,23.3
1,1,2016-17,All Students,158519,11298,147221,92.9,956,234,24.5
1,1,2017-18,All Students,151606,10921,140685,92.8,885,231,26.1
1,1,2018-19,All Students,151359,11908,139451,92.1,888,256,28.8
1,2,2013-14,All Students,159174,10792,148382,93.2,928,222,23.9
1,2,2014-15,All Students,161393,9930,151463,93.8,926,179,19.3
1,2,2015-16,All Students,159010,8992,150018,94.3,932,172,18.5
1,2,2016-17,All Students,156323,9683,146640,93.8,922,186,20.2
1,2,2017-18,All Students,152728,10446,142282,93.2,891,208,23.3
1,2,2018-19,All Students,145929,10328,135601,92.9,852,211,24.8
1,3,2013-14,All Students,170369,10506,159863,93.8,987,200,20.3
1,3,2014-15,All Students,157839,9403,148436,94.0,909,182,20.0
1,3,2015-16,All Students,152234,8291,143943,94.6,891,147,16.5
1,3,2016-17,All Students,152042,9042,143000,94.1,908,189,20.8
1,3,2017-18,All Students,152703,9288,143415,93.9,892,187,21.0
1,3,2018-19,All Students,149871,10601,139270,92.9,876,228,26.0
1,4,2013-14,All Students,169060,9610,159450,94.3,971,166,17.1
1,4,2014-15,All Students,167506,9255,158251,94.5,949,167,17.6
1,4,2015-16,All Students,149200,8201,140999,94.5,875,162,18.5
1,4,2016-17,All Students,146645,8059,138586,94.5,861,139,16.1
1,4,2017-18,All Students,149499,8687,140812,94.2,866,166,19.2
1,4,2018-19,All Students,150185,8901,141284,94.1,870,173,19.9
1,5,2013-14,All Students,154629,9125,145504,94.1,890,165,18.5
1,5,2014-15,All Students,166098,9158,156940,94.5,936,153,16.3
1,5,2015-16,All Students,160479,8861,151618,94.5,922,151,16.4
1,5,2016-17,All Students,140490,8022,132468,94.3,815,147,18.0
1,5,2017-18,All Students,144524,8508,136016,94.1,841,156,18.5
1,5,2018-19,All Students,147610,9310,138300,93.7,853,191,22.4
1,6,2013-14,All Students,135825,7997,127828,94.1,788,137,17.4
1,6,2014-15,All Students,150524,8399,142125,94.4,854,136,15.9
1,6,2015-16,All Students,152845,7857,144988,94.9,886,137,15.5
1,6,2016-17,All Students,146272,8422,137850,94.2,846,141,16.7
1,6,2017-18,All Students,141431,8372,133059,94.1,820,166,20.2
1,6,2018-19,All Students,134108,8020,126088,94.0,777,146,18.8
1,7,2013-14,All Students,152616,9282,143334,93.9,876,160,18.3
1,7,2014-15,All Students,136640,7817,128823,94.3,776,141,18.2
1,7,2015-16,All Students,146735,8010,138725,94.5,851,142,16.7
1,7,2016-17,All Students,147656,8363,139293,94.3,858,145,16.9
1,7,2017-18,All Students,142041,8575,133466,94.0,819,161,19.7
1,7,2018-19,All Students,140520,8880,131640,93.7,808,167,20.7
1,8,2013-14,All Students,161809,11605,150204,92.8,921,210,22.8
1,8,2014-15,All Students,153380,9663,143717,93.7,868,153,17.6
1,8,2015-16,All Students,140535,9172,131363,93.5,815,171,21.0
1,8,2016-17,All Students,147200,9363,137837,93.6,851,163,19.2
1,8,2017-18,All Students,150098,9763,140335,93.5,867,172,19.8
1,8,2018-19,All Students,139512,9407,130105,93.3,805,186,23.1
1,9,2013-14,All Students,113323,13953,99370,87.7,721,218,30.2
1,9,2014-15,All Students,106986,12724,94262,88.1,683,202,29.6
1,9,2015-16,All Students,107520,9469,98051,91.2,677,152,22.5
1,9,2016-17,All Students,108455,9091,99364,91.6,682,136,19.9
1,9,2017-18,All Students,119031,9042,109989,92.4,760,142,18.7
1,9,2018-19,All Students,128326,11114,117212,91.3,830,181,21.8
1,10,2013-14,All Students,162186,22212,139974,86.3,1128,402,35.6
1,10,2014-15,All Students,162494,23547,138947,85.5,1102,436,39.6
1,10,2015-16,All Students,153163,25179,127984,83.6,1055,434,41.1
1,10,2016-17,All Students,157255,20911,136344,86.7,1099,389,35.4
1,10,2017-18,All Students,148720,22619,126101,84.8,997,390,39.1
1,10,2018-19,All Students,142503,20035,122468,85.9,949,363,38.3
1,11,2013-14,All Students,145667,20556,125111,85.9,947,352,37.2
1,11,2014-15,All Students,140385,16381,124004,88.3,901,295,32.7
1,11,2015-16,All Students,135211,19476,115735,85.6,880,349,39.7
1,11,2016-17,All Students,127979,16684,111295,87.0,850,327,38.5
1,11,2017-18,All Students,140901,18568,122333,86.8,922,325,35.2
1,11,2018-19,All Students,125782,16008,109774,87.3,802,270,33.7
1,12,2013-14,All Students,142972,27193,115779,81.0,955,485,50.8
1,12,2014-15,All Students,144975,23117,121858,84.1,953,452,47.4
1,12,2015-16,All Students,145518,26086,119432,82.1,978,512,52.4
1,12,2016-17,All Students,131584,22357,109227,83.0,895,445,49.7
1,12,2017-18,All Students,128052,21135,106917,83.5,850,425,50.0
1,12,2018-19,All Students,152359,28785,123574,81.1,990,490,49.5
2,All Grades,2013-14,All Students,10455775,953390,9502385,90.9,63539,16122,25.4
2,All Grades,2014-15,All Students,10630853,891277,9739576,91.6,63677,14897,23.4
2,All Grades,2015-16,All Students,10392711,898432,9494279,91.4,63310,14999,23.7
2,All Grades,2016-17,All Students,10303270,897129,9406141,91.3,63351,15087,23.8
2,All Grades,2017-18,All Students,10430548,926575,9503973,91.1,63773,15722,24.7
2,All Grades,2018-19,All Students,10435938,901006,9534932,91.4,63238,15388,24.3
2,PK in K-12 Schools,2013-14,All Students,157130,12203,144927,92.2,941,241,25.6
2,PK in K-12 Schools,2014-15,All Students,188328,14552,173776,92.3,1114,293,26.3
2,PK in K-12 Schools,2015-16,All Students,188908,12965,175943,93.1,1125,254,22.6
2,PK in K-12 Schools,2016-17,All Students,206783,14781,192002,92.9,1240,286,23.1
