CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41178124,CAFE 57,Manhattan,300,WEST   57 STREET,10019,2126492729,American,7/30/2021,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.76643902,-73.98332508,104,3,13900,1025451,1010477502,MN15
50111450,CASTLE CHICKEN,Bronx,5987A,BROADWAY,10471,9178562047,Chicken,7/30/2021,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,41,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.88993027,-73.89805316,208,11,28500,2084208,2058011033,BX29
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458,7183652277,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,,,8/1/2021,Cycle Inspection / Initial Inspection,40.86759042,-73.88308647,207,11,41500,2016446,2032800061,BX05
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,7186272450,Donuts,7/30/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315,44,41800,3177632,3066660110,BK25
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,72,,,8/1/2021,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743,112,10,26300,1063524,1021430013,MN36
50104136,FLATBUSH  BAGEL,Brooklyn,557,FLATBUSH AVENUE,11225,5164915588,Bagels/Pretzels,7/30/2021,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,30,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.66025483,-73.96061219,309,40,79801,3114677,3050280001,BK60
50106274,BURGER IM,Brooklyn,531,MYRTLE AVENUE,11205,7186736066,Hamburgers,7/30/2021,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/30/2021,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.69370633,-73.96336185,302,35,19100,3424339,3018937504,BK69
41485121,BOHEMIAN BEER GARDEN,Queens,2919,24 AVENUE,11102,7182744925,Czech,7/30/2021,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,4,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.77279112,-73.91610113,401,22,11500,4437011,4008420006,QN72
50104841,STARBUCKS COFFEE #14090,Brooklyn,3454,NOSTRAND AVENUE,11229,2126159700,Coffee/Tea,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.59981217,-73.9417858,315,46,57000,3410364,3073620010,BK17
41397316,LEE'S TAVERN,Staten Island,60,HANCOCK STREET,10305,7186679749,American,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14,,,8/1/2021,Cycle Inspection / Initial Inspection,40.5888438,-74.09533948,502,50,9602,5049387,5033420026,SI36
41181395,DUNKIN',Brooklyn,934,KINGS HIGHWAY,11223,7186272450,Donuts,7/30/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.60705342,-73.96272892,315,44,41800,3177632,3066660110,BK25
50111220,EL CHARRO BAKERY II,Brooklyn,3379,FULTON STREET,11208,9176764185,Bakery Products/Desserts,7/30/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,67,N,,8/1/2021,Pre-permit (Operational) / Initial Inspection,40.68402453,-73.87088732,305,37,118400,3092391,3041320165,BK83
41172734,JUNIOR'S RESTAURANT,Manhattan,1515,BROADWAY,10036,2123022000,American,7/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,7/30/2021,8/1/2021,Cycle Inspection / Initial Inspection,40.75762868,-73.98580348,105,3,11900,1024714,1010160036,MN17
