DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,Not SWD,19,287,11,57.9,8,42.1,0,0.0,0,0.0,0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,Not SWD,12,290,6,50.0,6,50.0,0,0.0,0,0.0,0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,Not SWD,8,285,4,50.0,3,37.5,1,12.5,0,0.0,1,12.5
01M015,P.S. 015 ROBERTO CLEMENTE,3,2016,Not SWD,11,304,3,27.3,4,36.4,4,36.4,0,0.0,4,36.4
01M015,P.S. 015 ROBERTO CLEMENTE,3,2017,Not SWD,21,311,5,23.8,7,33.3,7,33.3,2,9.5,9,42.9
01M015,P.S. 015 ROBERTO CLEMENTE,3,2018,Not SWD,15,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2019,Not SWD,22,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,Not SWD,12,299,1,8.3,10,83.3,1,8.3,0,0.0,1,8.3
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,Not SWD,17,282,9,52.9,7,41.2,1,5.9,0,0.0,1,5.9
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,Not SWD,12,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2016,Not SWD,8,302,2,25.0,4,50.0,2,25.0,0,0.0,2,25.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2017,Not SWD,15,316,1,6.7,7,46.7,6,40.0,1,6.7,7,46.7
01M015,P.S. 015 ROBERTO CLEMENTE,4,2018,Not SWD,21,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2019,Not SWD,13,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,Not SWD,18,293,7,38.9,10,55.6,1,5.6,0,0.0,1,5.6
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,Not SWD,13,281,8,61.5,4,30.8,0,0.0,1,7.7,1,7.7
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,Not SWD,15,287,8,53.3,6,40.0,1,6.7,0,0.0,1,6.7
01M015,P.S. 015 ROBERTO CLEMENTE,5,2016,Not SWD,10,301,4,40.0,3,30.0,3,30.0,0,0.0,3,30.0
