CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
78128403,07/04/2021,07/04/2021,00:00:45,13,MANHATTAN,PATROL BORO MAN SOUTH,986358,211072,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:00:45 AM,07/04/2021 12:00:45 AM,07/04/2021 12:00:45 AM,07/04/2021 12:24:42 AM,40.746028,-73.992394
78128408,07/04/2021,07/04/2021,00:00:55,5,MANHATTAN,PATROL BORO MAN SOUTH,985214,200275,11B4,ALARMS: BANK/BURGLARY,Non CIP,07/04/2021 12:00:55 AM,07/04/2021 12:04:57 AM,07/04/2021 12:06:37 AM,07/04/2021 12:08:27 AM,40.716394,-73.996524
78128410,07/04/2021,07/04/2021,00:01:04,6,MANHATTAN,PATROL BORO MAN SOUTH,984016,205081,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:01:04 AM,07/04/2021 12:01:04 AM,07/04/2021 12:01:04 AM,07/04/2021 12:21:07 AM,40.729585,-74.000846
78128411,07/04/2021,07/04/2021,00:01:09,28,MANHATTAN,PATROL BORO MAN NORTH,998903,231702,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:01:09 AM,07/04/2021 12:01:14 AM,07/04/2021 12:09:04 AM,07/04/2021 12:09:06 AM,40.802640,-73.947075
78128412,07/04/2021,07/04/2021,00:01:09,13,MANHATTAN,PATROL BORO MAN SOUTH,986616,207258,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:01:09 AM,07/04/2021 12:01:09 AM,07/04/2021 12:01:09 AM,07/04/2021 01:07:53 AM,40.735560,-73.991464
78128414,07/04/2021,07/04/2021,00:01:11,19,MANHATTAN,PATROL BORO MAN NORTH,999479,221487,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:01:11 AM,07/04/2021 12:01:11 AM,07/04/2021 12:01:11 AM,07/04/2021 12:07:23 AM,40.774602,-73.945017
78128421,07/04/2021,07/04/2021,00:01:32,19,MANHATTAN,PATROL BORO MAN NORTH,996632,220135,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:01:32 AM,07/04/2021 12:01:32 AM,07/04/2021 12:01:32 AM,07/04/2021 03:37:37 AM,40.770896,-73.955299
78128425,07/04/2021,07/04/2021,00:01:51,9,MANHATTAN,PATROL BORO MAN SOUTH,986324,203257,54C2,AMBULANCE CASE: CARDIAC/OUTSIDE,Non CIP,07/04/2021 12:01:51 AM,07/04/2021 12:07:13 AM,,07/04/2021 12:47:18 AM,40.724578,-73.992519
78128434,07/04/2021,07/04/2021,00:02:27,14,MANHATTAN,PATROL BORO MAN SOUTH,987472,214939,75O,TRAIN ORDER MAINTENANCE SWEEP (TOMS),Non CIP,07/04/2021 12:02:27 AM,07/04/2021 12:02:27 AM,07/04/2021 12:02:27 AM,07/04/2021 12:58:28 AM,40.756642,-73.988372
78128441,07/04/2021,07/04/2021,00:03:00,19,MANHATTAN,PATROL BORO MAN NORTH,996700,217648,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:03:00 AM,07/04/2021 12:14:00 AM,,07/04/2021 12:36:20 AM,40.764069,-73.955058
