CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73973990,01/01/2021,01/01/2021,00:00:06,81,BROOKLYN,PATROL BORO BKLYN NORTH,1006343,186591,10S2,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,Critical,01/01/2021 12:00:06 AM,01/01/2021 12:00:37 AM,01/01/2021 12:02:30 AM,01/01/2021 12:35:03 AM,40.678807,-73.920349
73973991,01/01/2021,01/01/2021,00:00:08,107,QUEENS,PATROL BORO QUEENS SOUTH,1038733,200582,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/01/2021 12:00:09 AM,01/01/2021 12:00:09 AM,01/01/2021 12:00:09 AM,01/01/2021 01:43:36 AM,40.717068,-73.803461
73973992,01/01/2021,01/01/2021,00:00:10,42,BRONX,PATROL BORO BRONX,1011125,241994,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/01/2021 12:00:10 AM,01/01/2021 12:00:42 AM,,01/01/2021 04:32:22 AM,40.830860,-73.902887
73973992,01/01/2021,01/01/2021,00:00:10,42,BRONX,PATROL BORO BRONX,1011125,241994,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/01/2021 12:00:10 AM,01/01/2021 12:01:12 AM,,01/01/2021 05:28:39 AM,40.830860,-73.902887
73973993,01/01/2021,01/01/2021,00:00:20,60,BROOKLYN,PATROL BORO BKLYN SOUTH,987061,148773,24Q6,ASSAULT (PAST): OTHER/FAMILY,Non CIP,01/01/2021 12:00:21 AM,01/01/2021 12:11:05 AM,01/01/2021 01:21:53 AM,01/01/2021 01:35:07 AM,40.575031,-73.989883
73973994,01/01/2021,01/01/2021,00:00:25,75,BROOKLYN,PATROL BORO BKLYN NORTH,1021290,184416,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:00:25 AM,01/01/2021 12:10:09 AM,,01/01/2021 05:34:21 AM,40.672787,-73.866473
73973995,01/01/2021,01/01/2021,00:00:27,5,MANHATTAN,PATROL BORO MAN SOUTH,986475,197819,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/01/2021 12:00:27 AM,01/01/2021 12:00:28 AM,01/01/2021 12:00:31 AM,01/01/2021 12:54:13 AM,40.709652,-73.991976
73973996,01/01/2021,01/01/2021,00:00:28,111,QUEENS,PATROL BORO QUEENS NORTH,1045061,213812,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/01/2021 12:00:28 AM,01/01/2021 12:00:28 AM,01/01/2021 12:00:28 AM,01/01/2021 12:26:14 AM,40.753340,-73.780514
73973998,01/01/2021,01/01/2021,00:00:56,19,MANHATTAN,PATROL BORO MAN NORTH,993595,218920,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/01/2021 12:00:56 AM,01/01/2021 12:04:34 AM,01/01/2021 12:07:18 AM,01/01/2021 12:24:19 AM,40.767565,-73.966265
73974002,01/01/2021,01/01/2021,00:01:11,102,QUEENS,PATROL BORO QUEENS SOUTH,1035310,194572,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/01/2021 12:01:11 AM,01/01/2021 12:01:11 AM,01/01/2021 12:01:11 AM,01/01/2021 03:06:58 AM,40.700593,-73.815854
