DATE,APU0000702421,APU0000708111,APU0000FS1101,PCU3113513113517,APU0000701111,APU0000715211
2018-04-01,3.328,2.081,4.153,97.4,0.472,0.617
2018-05-01,3.400,1.987,4.112,98.1,0.469,0.628
2018-06-01,3.490,1.628,4.064,94.8,0.469,0.629
2018-07-01,3.481,1.725,4.110,94.7,0.468,0.630
2018-08-01,3.351,1.622,4.085,90.2,0.464,0.628
2018-09-01,3.451,1.651,4.119,93.2,0.467,0.629
2018-10-01,3.456,1.660,4.111,91.3,0.453,0.602
2018-11-01,3.527,1.596,3.953,91.0,0.433,0.602
2018-12-01,3.527,1.595,3.931,92.8,0.437,0.573
2019-01-01,3.466,1.554,4.055,94.2,0.439,0.595
2019-02-01,3.516,1.557,4.154,92.4,0.443,0.592
2019-03-01,3.311,1.544,4.261,91.0,0.445,0.596
2019-04-01,3.426,1.463,4.019,95.1,0.434,0.591
2019-05-01,3.352,1.362,4.111,94.0,0.454,0.580
2019-06-01,3.504,1.203,3.921,99.1,0.448,0.586
2019-07-01,3.468,1.243,3.977,100.0,0.454,0.589
2019-08-01,3.496,1.219,4.036,94.6,0.450,0.589
2019-09-01,3.587,1.383,3.954,99.9,0.449,0.596
2019-10-01,3.602,1.282,3.979,100.6,0.432,0.589
2019-11-01,3.603,1.405,3.713,102.8,0.417,0.589
2019-12-01,3.584,1.535,3.624,99.0,0.429,0.589
2020-01-01,3.525,1.461,3.864,101.1,0.438,0.603
2020-02-01,3.551,1.449,3.762,101.1,0.438,0.612
2020-03-01,3.633,1.525,3.857,95.4,0.442,0.621
2020-04-01,3.826,2.019,3.725,96.6,.,0.640
2020-05-01,3.617,1.640,3.535,99.8,0.461,0.647
2020-06-01,3.717,1.554,3.491,96.0,0.468,0.626
2020-07-01,3.696,1.401,3.572,97.4,0.461,0.627
2020-08-01,3.769,1.328,3.623,103.3,0.459,0.629
2020-09-01,3.659,1.353,3.570,108.0,0.451,0.630
2020-10-01,3.848,1.408,3.586,102.7,0.452,0.634
2020-11-01,3.767,1.450,3.325,105.8,0.445,0.660
2020-12-01,3.793,1.481,3.533,107.9,0.450,0.674
2021-01-01,3.669,1.466,3.644,106.6,0.446,0.682
2021-02-01,3.800,1.597,3.661,104.5,0.440,0.680
2021-03-01,3.964,1.625,3.643,108.4,0.436,0.675
2021-04-01,3.939,1.620,3.521,111.8,0.437,0.675
2021-05-01,4.019,1.625,3.561,112.5,0.439,0.675
2021-06-01,4.068,1.642,3.585,108.6,0.356,0.675
2021-07-01,4.065,1.642,3.599,106.487,0.368,0.686
2021-08-01,4.065,1.709,3.634,110.413,0.371,0.681
2021-09-01,3.981,1.835,3.568,111.041,0.382,0.688
2021-10-01,3.815,1.821,3.652,108.997,0.396,0.713
2021-11-01,3.999,1.718,3.477,111.641,0.386,0.687
2021-12-01,4.089,1.788,3.474,109.398,0.388,0.691
2022-01-01,4.223,1.929,3.672,117.552,0.424,0.706
2022-02-01,4.150,2.005,3.774,117.856,0.428,0.718
2022-03-01,4.147,2.046,4.076,116.664,0.448,0.739
2022-04-01,4.174,2.520,4.150,118.120,0.455,0.740
2022-05-01,4.505,2.863,4.285,118.161,0.456,0.745
2022-06-01,4.567,2.707,4.386,118.896,0.498,0.765
2022-07-01,4.654,2.936,4.552,122.882,0.533,0.791
2022-08-01,4.676,3.116,4.699,127.485,0.549,0.821
2022-09-01,4.796,2.902,4.718,129.897,0.556,0.837
2022-10-01,4.869,3.419,4.847,133.051,0.534,0.846
2022-11-01,4.942,3.589,4.639,136.453,0.524,0.846
2022-12-01,4.974,4.250,4.811,137.243,0.522,0.844
2023-01-01,5.058,4.823,4.882,142.614,0.540,0.860
2023-02-01,5.177,4.211,4.869,141.027,0.550,0.876
2023-03-01,5.234,3.446,4.663,143.979,0.546,0.880
2023-04-01,5.193,3.270,4.452,147.867,0.542,0.893
2023-05-01,5.153,2.666,4.549,149.313,0.544,0.899
2023-06-01,5.111,2.219,4.452,150.627,0.551,0.918
2023-07-01,5.091,2.094,4.465,154.298,0.564,0.932
2023-08-01,5.056,2.043,4.411,159.247,0.566,0.950
