DATE,USINFO
2010-01-01,2739
2010-02-01,2737
2010-03-01,2719
2010-04-01,2714
2010-05-01,2708
2010-06-01,2701
2010-07-01,2703
2010-08-01,2701
2010-09-01,2697
2010-10-01,2695
2010-11-01,2689
2010-12-01,2682
2011-01-01,2678
2011-02-01,2672
2011-03-01,2672
2011-04-01,2674
2011-05-01,2679
2011-06-01,2685
2011-07-01,2675
2011-08-01,2632
2011-09-01,2676
2011-10-01,2677
2011-11-01,2676
2011-12-01,2679
2012-01-01,2665
2012-02-01,2676
2012-03-01,2678
2012-04-01,2680
2012-05-01,2685
2012-06-01,2674
2012-07-01,2679
2012-08-01,2675
2012-09-01,2670
2012-10-01,2666
2012-11-01,2674
2012-12-01,2677
2013-01-01,2662
2013-02-01,2698
2013-03-01,2700
2013-04-01,2696
2013-05-01,2710
2013-06-01,2705
2013-07-01,2720
2013-08-01,2691
2013-09-01,2708
2013-10-01,2718
2013-11-01,2722
2013-12-01,2727
2014-01-01,2724
2014-02-01,2718
2014-03-01,2725
2014-04-01,2721
2014-05-01,2717
2014-06-01,2722
2014-07-01,2725
2014-08-01,2733
2014-09-01,2734
2014-10-01,2727
2014-11-01,2735
2014-12-01,2737
2015-01-01,2740
2015-02-01,2741
2015-03-01,2737
2015-04-01,2742
2015-05-01,2747
2015-06-01,2748
2015-07-01,2752
2015-08-01,2751
2015-09-01,2764
2015-10-01,2766
2015-11-01,2751
2015-12-01,2761
2016-01-01,2762
2016-02-01,2775
2016-03-01,2785
2016-04-01,2789
2016-05-01,2751
2016-06-01,2801
2016-07-01,2799
2016-08-01,2803
2016-09-01,2817
2016-10-01,2814
2016-11-01,2812
2016-12-01,2817
2017-01-01,2821
2017-02-01,2815
2017-03-01,2813
2017-04-01,2804
2017-05-01,2801
2017-06-01,2811
2017-07-01,2809
2017-08-01,2813
2017-09-01,2816
2017-10-01,2811
2017-11-01,2815
2017-12-01,2818
2018-01-01,2817
2018-02-01,2819
2018-03-01,2826
2018-04-01,2838
2018-05-01,2841
2018-06-01,2838
2018-07-01,2841
2018-08-01,2840
2018-09-01,2838
2018-10-01,2850
2018-11-01,2850
2018-12-01,2851
2019-01-01,2842
2019-02-01,2844
2019-03-01,2850
2019-04-01,2846
2019-05-01,2854
2019-06-01,2873
2019-07-01,2866
2019-08-01,2867
2019-09-01,2872
2019-10-01,2873
2019-11-01,2883
2019-12-01,2891
2020-01-01,2901
2020-02-01,2908
2020-03-01,2899
2020-04-01,2640
2020-05-01,2610
2020-06-01,2622
2020-07-01,2617
2020-08-01,2642
2020-09-01,2698
2020-10-01,2695
2020-11-01,2702
2020-12-01,2715
2021-01-01,2749
2021-02-01,2765
2021-03-01,2770
2021-04-01,2792
2021-05-01,2820
2021-06-01,2837
2021-07-01,2866
2021-08-01,2902
2021-09-01,2917
2021-10-01,2934
2021-11-01,2955
2021-12-01,2973
2022-01-01,2985
2022-02-01,2992
2022-03-01,3018
2022-04-01,3035
2022-05-01,3067
2022-06-01,3089
2022-07-01,3102
2022-08-01,3110
2022-09-01,3113
2022-10-01,3116
2022-11-01,3129
2022-12-01,3120
2023-01-01,3097
2023-02-01,3089
2023-03-01,3092
2023-04-01,3095
2023-05-01,3091
2023-06-01,3081
2023-07-01,3066
2023-08-01,3051
