Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1364085707,GKC6197,NY,PAS,01/09/2016,19,SDN,KIA,P,29650,35150,35170,20160930,0020,20,20,955166,0020,0000,0840P,,NY,O,200,RIVERSIDE BLVD,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2014,-,0,,,,,,,,,,,,,
1364085719,H51FEZ,NJ,PAS,01/16/2016,19,SUBN,LEXUS,P,29650,35150,35170,0,0020,20,20,955166,0020,0000,0410P,,NY,O,200,RIVERSIDE BLVD,,0,408,E1,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,,,,,,,,,
1399171320,GPL4108,NY,PAS,01/07/2016,21,SUBN,SUBAR,S,35150,40404,40404,20160601,0020,20,0,979839,MN07,0000,0922A,,NY,O,236,W 69TH ST,,0,408,D1,,YBBYBBB,0900A,1030A,RED,0,0,-,0,,,,,,,,,,,,,
1399171355,GHU9871,NY,PAS,01/07/2016,21,SDN,TOYOT,S,35050,11710,44990,20170721,0020,20,0,979839,MN07,0000,0930A,,NY,O,216,W 64TH ST,,0,408,D1,,YBBYBBB,0900A,1030A,BLUE,0,2013,-,0,,,,,,,,,,,,,
1399171380,G8166E,FL,PAS,01/12/2016,21,SUBN,DODGE,A,35350,11710,13610,0,0020,20,0,979839,MN07,0000,0813A,,NY,F,200,WEST 79TH ST,,0,408,D1,,YYBYYBB,0800A,0830A,WHITE,0,0,-,0,,,,,,,,,,,,,
1399171392,H55GBM,NJ,PAS,01/13/2016,21,SUBN,DODGE,S,13610,35310,35330,0,0020,20,0,979839,MN07,0000,0814A,,NY,F,2197,BROADWAY,,0,408,D1,,YYYYYYB,0800A,0830A,WHITE,0,0,-,0,,,,,,,,,,,,,
1399171409,JYF5081,PA,PAS,01/14/2016,21,SDN,TOYOT,S,35210,13610,44990,0,0020,20,0,979839,MN07,0000,0809A,,NY,F,239,W 72ND ST,,0,408,D1,,YYYYYYB,0800A,0830A,RED,0,0,-,0,,,,,,,,,,,,,
1399171422,PF526C,FL,PAS,01/14/2016,21,SUBN,,S,35350,11710,13610,0,0020,20,0,979839,MN07,0000,0820A,,NY,F,216,W 79TH ST,,0,408,D1,,YYYYYBB,0800A,0830A,WHITE,0,0,-,0,,,,,,,,,,,,,
1399171446,GSB3803,NY,PAS,01/15/2016,21,SDN,BMW,S,35070,11710,44990,20160724,0020,20,0,979839,MN01,0000,0856A,,NY,F,240,WEST 65TH ST,,0,408,D1,,BYBBYBB,0800A,0930A,GRAY,0,2011,-,0,,,,,,,,,,,,,
1399171471,JLA5880,PA,PAS,01/19/2016,21,SUBN,CADIL,S,35250,11710,13610,0,0020,20,0,979839,MN07,0000,0818A,,NY,F,202,WEST 74TH ST,,0,408,D1,,YYBYYBB,0800A,0830A,BLACK,0,0,-,0,,,,,,,,,,,,,
1399171501,HCV1334,NY,PAS,01/08/2016,21,SUBN,VOLKS,S,35450,15710,11710,20160210,0020,20,0,554823,MW07,0000,0850A,0845A,NY,F,150,W 84TH STREET,,0,408,D1,,BYBBYBB,0830A,1000A,BLACK,0,2009,-,0,,,,,,,,,,,,,
1399171513,GXX3258,NY,PAS,01/08/2016,21,SDN,FORD,S,35450,14510,15710,20170423,0020,20,0,554823,MW07,0000,0850A,0848A,NY,F,20,WEST 84TH ST,,0,408,D1,,BYBBYYB,0830A,1000A,SILVE,0,2006,-,0,,,,,,,,,,,,,
1399171525,GKH9470,NY,PAS,01/08/2016,21,SDN,BUICK,S,35470,14510,15710,20160317,0020,20,0,554823,MW07,0000,0852A,0850A,NY,F,12,WEST 85TH ST,,0,408,D1,,BYYBYYB,0830A,1000A,TAN,0,2003,-,0,,,,,,,,,,,,,
1399171562,HAW9698,NY,PAS,01/11/2016,20,SUBN,ME/BE,A,0,40404,40404,20171229,0020,20,0,554823,MW07,0000,0845A,0840A,NY,O,638,A STERDA,,0,408,D,,BBBBBBB,0830A,0900A,SILVE,0,2013,-,0,,,,,,,,,,,,,
1399171586,GCG2810,NY,PAS,01/15/2016,21,SDN,AUDI,S,35450,14510,15710,20161017,0020,20,0,554823,MW07,0000,0842A,0840A,NY,F,62,W 84TH STREET,,0,408,D1,,BYBBYYB,0830A,1000A,BLACK,0,2010,-,0,,,,,,,,,,,,,
1399103659,GYU7964,NY,PAS,01/07/2016,21,SDN,MINI,S,35350,11710,13610,20170809,0020,20,0,797839,MN07,0000,0821A,,NY,F,215,W 79TH ST,,0,408,D1,,YYBYYBB,0800A,0830A,RED,0,2012,-,0,,,,,,,,,,,,,
1399105668,GJJ9082,99,PAS,01/04/2016,21,SDN,AUDI,S,13610,35410,35430,20170916,0020,20,0,612359,MN07,0000,0743A,,NY,F,2298,BROADWAY,,0,408,D1,,YYYYYYB,0730A,0800A,BLACK,0,2014,-,0,,,,,,,,,,,,,
1399170739,4K93H,NY,OMT,01/12/2016,21,TAXI,TOYOT,S,13610,35370,35390,20160228,0020,20,0,687684,MN07,0000,0743A,,NY,F,2250,BROADWAY,,0,408,D1,,YYYYYYB,0730A,0800A,YELLO,0,2013,-,0,,,,,,,,,,,,,
1399171197,39945ME,NY,OMT,01/19/2016,21,VAN,FORD,S,13610,35470,35490,20160228,0020,20,0,584590,MW02,0000,0810A,,,F,2345,BROADWAY,,0,408,D1,,YYYYYYB,0800A,ALL,WHITE,0,0,-,0,,,,,,,,,,,,,
1399171215,L047921,NJ,PAS,01/19/2016,21,VAN,FORD,S,13610,35310,35330,0,0020,20,0,584590,MW07,0000,0822A,,NY,F,2197,BROADWAY,,0,408,D1,,YYYBYYB,0800A,0830,WHITE,0,0,-,0,,,,,,,,,,,,,
1399171318,G8166E,FL,PAS,01/07/2016,21,SUBN,DODGE,S,35350,11710,13610,0,0020,20,0,979839,MN07,0000,0824A,,NY,F,206,W 79 ST,,0,408,D1,,YYBYYBB,0800A,0830A,WHITE,0,0,-,0,,,,,,,,,,,,,
1399367493,GKL5673,NY,PAS,01/03/2016,14,SDN,CHRYS,X,29650,35010,35030,20170918,0020,20,1,161419,0001,0000,0702P,1016A,NY,O,50,RIVERSIDE BLVD,,0,408,C3,,BBBBBBB,ALL,ALL,BLACK,0,2008,-,0,,,,,,,,,,,,,
