Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1335632335,L040HZ,FL,PAS,06/09/2015,46,SUBN,NISSA,X,35430,14510,15710,0,0020,20,74,921167,E074,0000,1213P,1207P,NY,O,4,WEST 83 ST,,0,408,C,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1351345497,GYA2946,NY,PAS,06/25/2015,21,SDN,FORD,S,35550,44990,29690,20170407,0020,20,0,531401,MN04,0000,0930A,,,F,317,W 89 ST,,0,408,D1,,BYBYBBB,0930A,1100A,TAN,0,2011,-,0,,,,,
1355390564,T512895C,NY,OMT,07/06/2015,20,SUBN,LINCO,P,35210,29690,0,20150930,0020,20,1,161419,0001,0000,0845P,,NY,,,W 72 ST,RIVERSIDE DRIVE,0,408,D1,,BBBBBBB,ALL,ALL,BLACK,0,2010,-,0,,,,,
1355390825,GVX5273,NY,PAS,06/28/2015,20,SDN,HONDA,P,35210,29690,0,20170107,0020,20,1,160465,0001,0000,0348P,,NY,,,72 ST,RIVERSIDE DR,0,408,D,,BBBBBBB,0  :,0  :,RED,0,1994,-,0,,,,,
1355390862,GOLPO,NY,OMT,07/06/2015,19,VAN,TOYOT,P,0,29690,0,20160131,0020,20,1,160465,0001,0000,0837P,,NY,,,W 73 RD,RIVERSIDE DRIVE,0,408,C,,BBBBBBB,ALL,ALL,BLUE,0,2014,-,0,,,,,
1361379212,ZUD99Y,NJ,PAS,06/24/2015,40,SDN,TOYOT,X,35330,15710,11710,20170420,0020,20,20,930894,0020,0000,,,,,,,,0,0,,,,,,,,0,,0,,,,,
1294715331,H22CWL,NJ,PAS,07/19/2015,17,SDN,HONDA,P,14510,35010,35030,0,0020,20,860,950247,0860,0000,0251A,,,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1370732508,GVR9110,NY,PAS,06/27/2015,50,SDN,AUDI,P,44990,35090,35170,0,0020,20,0,944306,0000,0000,1252P,,NY,F,185,WEST END AVE,,0,408,J2,,BBBBBBB,ALL,ALL,BLUE,0,2013,-,0,,,,,
1371703620,GMA9943,NY,PAS,06/19/2015,21,SDN,TOYOT,S,35470,14510,15710,20160123,0020,20,0,685665,MW07,0000,,,,,,,,0,0,,,,,,,,0,,0,,,,,
1371706013,GBG8087,NY,PAS,07/02/2015,21,SUBN,JEEP,S,35610,13610,44990,20160718,0020,20,0,594706,MN07,0000,0938A,,NY,O,288,W 92ND ST,,0,408,F1,,YBBYBBB,0930A,1100A,BLACK,0,2004,-,0,,,,,
1371706037,GVL2814,NY,OMS,07/02/2015,21,SUBN,TOYOT,S,35430,15710,11710,20160930,0020,20,0,594706,MN07,0000,1133A,,NY,F,169,W 83RD ST,,0,408,D1,,YBBYBBB,1100A,1230P,WHITE,0,2015,-,0,,,,,
1372102632,NAZ271,NY,PAS,06/24/2015,17,SDN,VOLKS,P,34990,14510,0,20160903,0020,20,0,952577,TD01,0000,0505P,,NY,,,61 STREET,CENTRAL PARK WEST,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1372102723,HZG5065,PA,PAS,06/12/2015,17,SDN,ACURA,P,14510,35010,35030,0,0020,20,860,953605,0860,0000,0605P,,,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1372102796,MD77272,NY,PAS,06/29/2015,17,SDN,HONDA,P,14510,15715,34990,20151111,0020,20,1,953497,T001,0000,0655P,0645P,NY,O,1,CENTRAL PARK WEST,,20150629,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,,,,,
1372102802,GVU7796,NY,PAS,06/29/2015,17,SDN,ME/BE,P,14510,15715,34990,20161218,0020,20,1,953497,T001,0000,0705P,0648P,NY,O,1,CENTRAL PARK WEST,,20150629,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,2015,-,0,,,,,
1372102930,GFZ1273,OH,PAS,06/17/2015,17,SDN,TOYOT,P,14510,35010,35030,20150920,0020,20,860,953459,0860,0000,0955A,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1372103235,JWN3901,PA,PAS,06/21/2015,20,,SUBAR,P,14190,97560,13113,20160501,0020,20,0,957219,TD01,0000,0258P,,NY,F,1,CENTRAL PARK,,0,408,C4,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1372103302,N60DWE,NJ,PAS,07/04/2015,17,SUBN,FORD,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,0614P,,NY,O,25,CENTRAL PARK W,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1372103314,Z0EGIRL,PA,PAS,07/04/2015,17,SDN,MITSU,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,0620P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1372103338,GXX8540,NY,PAS,07/04/2015,17,COUP,MITSU,P,14510,35010,35030,20170510,0020,20,0,952577,TD01,0000,1015P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLUE,0,1997,-,0,,,,,
1372103351,XDW7462,VA,PAS,07/05/2015,17,COUP,HONDA,P,14510,34990,35010,0,0020,20,0,952577,TD01,0000,0425P,,NY,O,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1372103363,S347953,IL,PAS,07/05/2015,17,SUV,CHEVR,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,0435P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1372103429,R39FBS,NJ,PAS,07/05/2015,17,SDN,KIA,P,14510,34990,35010,0,0020,20,0,952577,TD01,0000,0753P,,NY,O,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1372103430,GEL4886,NY,PAS,07/05/2015,17,SDN,HONDA,P,14510,34990,35010,20170530,0020,20,0,952577,TD01,0000,0837P,,NY,O,15,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,2005,-,0,,,,,
1372103533,VHL6796,VA,PAS,07/12/2015,17,SUBN,TOYOT,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,0500P,,NY,O,25,CENTRAL PARK W,,0,408,C4,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,
1372103727,H22GWL,NJ,PAS,07/18/2015,17,SDN,HONDA,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,0655P,,NY,O,25,CENTRAL PARK WEST,,0,408,99,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1372103739,Z99EVC,NJ,PAS,07/18/2015,17,SUBN,ACURA,P,0,0,0,0,0020,20,0,952577,TD01,0000,0958P,,NY,O,,C/O 62 ST,CENTRAL PARK WEST,0,408,C4,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1372103752,H22CWL,NJ,PAS,07/18/2015,17,SDN,HONDA,P,14510,35010,35030,0,0020,20,0,952577,TD01,0000,1040P,,NY,O,25,CENTRAL PARK WEST,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
