CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50045793,BROOKLYN KAVA,Brooklyn,146,WILSON AVENUE,11237,7047639030,Coffee/Tea,01/13/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.700533408992,-73.925450278566,304,34,042300,3325442,3032080035,BK78
50050185,LADY M CONFECTIONS,Manhattan,1178,BROADWAY,10001,2015668111,Coffee/Tea,01/13/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.745302260438,-73.988520022944,105,04,007600,1015727,1008300028,MN17
41451183,L'AROMA DELI CAFE,Queens,6254,FOREST AVENUE,11385,7184569788,Coffee/Tea,02/25/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.712049652603,-73.905699214674,405,30,059500,4308272,4033670047,QN20
50076386,IMPERIAL CAFE,Bronx,2133A,WILLIAMSBRIDGE ROAD,10461,7189753311,Coffee/Tea,03/12/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.855995667734,-73.855640510037,211,13,024800,2049701,2043320015,BX49
41689872,ELSEWHERE ESPRESSO,Manhattan,335,EAST    6 STREET,10003,9175026109,Coffee/Tea,05/05/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.72700831208,-73.987599557418,103,02,003800,1006293,1004480038,MN22
41543970,PAUSE CAFE,Manhattan,3,CLINTON SREET,,2126775415,Coffee/Tea,05/05/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,0,0,,,,,1,
50049436,KITTEN CAFE,Brooklyn,320,FRANKLIN AVENUE,11238,7183608543,Coffee/Tea,06/07/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,,,Not Applicable,0,,,02/21/2022,Cycle Inspection / Initial Inspection,40.688231077471,-73.957097952063,303,35,023300,3055796,3019530039,BK75
50044611,ROOT HILL CAFE,Brooklyn,262,4 AVENUE,11215,9172519336,Coffee/Tea,06/09/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,,,Not Applicable,0,,,02/21/2022,Cycle Inspection / Initial Inspection,40.676240555956,-73.983845236743,306,39,011900,3007533,3004480043,BK37
50086149,STARBUCKS COFFEE#54771,Queens,2388,BELL BLVD,11360,7183520590,Coffee/Tea,06/10/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,,,Not Applicable,0,,,02/21/2022,Cycle Inspection / Initial Inspection,40.779979845786,-73.775338919488,407,19,099704,4537938,4059000002,QN47
50064486,JOE & THE JUICE,Manhattan,993,LEXINGTON AVENUE,10021,9175665727,Coffee/Tea,06/16/2021,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,02/21/2022,Administrative Miscellaneous / Initial Inspection,40.770106559692,-73.962420697103,108,04,012800,1042824,1014067503,MN40
