UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
2055,January 01 2021,DOG,MIXED BREED,5,F,false,Brooklyn,11228
4308,January 01 2021,DOG,LARGE MIXED BREED,2,M,false,Bronx,10468
4309,January 01 2021,DOG,LARGE MIXED BREED,2,M,false,Bronx,10463
4310,January 01 2021,DOG,LARGE MIXED BREED,2,M,false,Bronx,10463
6963,January 01 2021,DOG,Pomeranian,,U,false,Manhattan,10038
10598,January 01 2021,DOG,SHEPHERD / HOUND MIX,3,F,true,Queens,11358
10600,January 01 2021,DOG,Siberian Husky,5,M,false,Queens,11372
2051,January 02 2021,DOG,UNKNOWN,,U,false,Brooklyn,
2064,January 02 2021,DOG,BASSET HOUND X,12,F,true,Brooklyn,11209
6964,January 02 2021,DOG,UNKNOWN,,U,false,Manhattan,
8053,January 02 2021,DOG,KING KORSO,2Y,M,false,Other,
10599,January 02 2021,DOG,German Shepherd,,U,false,Queens,11368
2049,January 03 2021,DOG,FRENCH BULL DOG & PIT BULL X,4,F,false,Brooklyn,11210
2056,January 03 2021,DOG,MIXED,5,M,true,Brooklyn,11232
4311,January 03 2021,DOG,LARGE MIXED BREED,2,M,false,Bronx,10454
8054,January 03 2021,DOG,Bichon Frise,11,M,false,Other,
12176,January 03 2021,DOG,MEDIUM MIXED BREED,2,M,false,Staten Island,10309
6965,January 04 2021,DOG,"Bull Dog, English",4,F,true,Manhattan,10029
6966,January 04 2021,DOG,Pit Bull,4,M,false,Manhattan,10025
2052,January 05 2021,DOG,Rhodesian Ridgeback,10,M,false,Brooklyn,11222
6967,January 05 2021,DOG,UNKNOWN,,U,false,Manhattan,
6969,January 05 2021,DOG,UNKNOWN,2,F,false,Manhattan,10029
10602,January 05 2021,DOG,MIXED,,U,false,Queens,11412
10603,January 05 2021,DOG,American Pit Bull Mix / Pit Bull Mix,7,M,false,Queens,11414
10604,January 05 2021,DOG,AMERICAN BULLY,1,M,false,Queens,11375
10605,January 05 2021,DOG,UNKNOWN,,U,false,Queens,
2097,January 06 2021,DOG,Pit Bull,4-6MOS,M,false,Brooklyn,11207
4688,January 06 2021,DOG,Pit Bull,,U,false,Bronx,10466
6971,January 06 2021,DOG,UNKNOWN,2,F,false,Manhattan,10029
2057,January 07 2021,DOG,Chihuahua Crossbreed,5,M,false,Brooklyn,11225
4322,January 07 2021,DOG,MEDIUM MIXED BREED,7,F,false,Bronx,10469
6972,January 07 2021,DOG,,,U,false,Manhattan,10033
11368,January 07 2021,DOG,"Schnauzer, Miniature",,U,false,Queens,11416
