id,repository_url,created_timestamp,language,licenses,keywords
3335078,,2018-10-19 17:07:33.000000 UTC,,BSD-2-Clause,
3218472,https://github.com/kvantstudio/site_commerce_profile,2018-08-18 12:49:09.000000 UTC,,GPL-2.0-only,drupal
3341853,,2018-10-22 22:21:38.000000 UTC,,Python-2.0,"packaging,distutils"
3161422,,2018-07-09 16:03:09.000000 UTC,,CNRI-Python-GPL-Compatible,Python Plone
3328730,,2018-10-17 01:26:42.000000 UTC,,AFL-3.0,"math,numbers,remove,decimal,return,get,integer"
3347843,,2018-10-23 01:16:21.000000 UTC,,GPL-2.0+,BastionCrypto
3422637,https://github.com/HenryRoger/Magento-2-store-pickup,2018-11-27 12:23:55.000000 UTC,,"OSL-3.0,AFL-3.0",
2905377,,2018-06-05 20:44:50.000000 UTC,,Zed,
3353781,,2018-10-24 00:22:37.000000 UTC,,ICU,"Bentley,iModel"
3328253,,2018-10-17 01:21:44.000000 UTC,,ICU,
3346464,https://github.com/anantshri/mkdocs-tamerdocs,2018-10-23 00:10:37.000000 UTC,,GPL-2.0+,"mkdocs,documentation,theme"
2807649,https://github.com/perlancar/perl-Acme-CPANModules-BloomFilters,2018-05-13 02:54:38.000000 UTC,,Artistic-1.0-Perl,
2659217,,2018-02-21 13:26:06.000000 UTC,,BSD-1-Clause,
3423885,,2018-11-28 17:29:43.000000 UTC,,"CNRI-Python-GPL-Compatible,CNRI-Python-GPL-Compatible",
3457862,,2018-12-12 00:06:20.000000 UTC,,Zed,
3304913,https://github.com/aroraenterprise/edropin-algolia-utility,2018-10-10 01:24:10.000000 UTC,,Unlicense,
3112844,,2018-07-02 15:17:33.000000 UTC,,NASA-1.3,
3351349,,2018-10-23 03:41:49.000000 UTC,,ZPL-2.1,zope3 error utility application management user interface
2765242,,2018-04-30 19:44:46.000000 UTC,,CC-BY-SA-4.0,
3218698,,2018-08-18 19:51:53.000000 UTC,,GPL-2.0,
3144946,,2018-07-03 06:18:51.000000 UTC,,Unlicense,"openapi-client,openapi-generator"
3114139,https://git.eclipse.org/c/eclipsescada/org.eclipse.scada.core.git,2018-07-02 15:53:25.000000 UTC,,EPL-1.0,
3201680,,2018-08-06 13:43:21.000000 UTC,,CC0-1.0,
3470214,,2018-12-17 23:40:09.000000 UTC,,"CNRI-Python-GPL-Compatible,CNRI-Python-GPL-Compatible",
2638588,,2018-02-07 16:51:58.000000 UTC,,CC-BY-NC-ND-4.0,
3268810,https://github.com/wzhvictor/libinjection-python,2018-09-26 10:37:01.000000 UTC,C,GPL-3.0-or-later,
3416762,https://github.com/atomaths/go-examples/spec/map,2018-11-24 01:04:23.000000 UTC,Go,BSD-2-Clause,
2974163,https://github.com/wantonsolutions/dara/fsm/future,2018-06-16 01:22:47.000000 UTC,Go,BSD-2-Clause,
3381665,https://github.com/sheng/cameron,2018-11-05 01:12:18.000000 UTC,Go,Unlicense,
2849267,https://github.com/robertsdionne/dcpu/sped3,2018-05-29 01:13:23.000000 UTC,Go,CC0-1.0,
3382020,https://github.com/jessfraz/cfssl/transport/roots/system,2018-11-05 01:13:11.000000 UTC,Go,BSD-2-Clause,
2994941,https://github.com/pgm/pliant/v2/deep,2018-06-18 01:14:02.000000 UTC,Go,BSD-2-Clause,
3291049,https://github.com/caojunxyz/golang123,2018-10-08 01:21:21.000000 UTC,Go,GPL-2.0,
3163886,https://github.com/robskillington/msgpack,2018-07-11 01:21:20.000000 UTC,Go,BSD-2-Clause,
3145241,https://github.com/CU-CommunityApps/cwd_base,2018-07-03 06:49:14.000000 UTC,CSS,GPL-2.0+,
3178378,https://github.com/greenpeace/planet4-child-theme-eu-unit,2018-07-20 09:53:45.000000 UTC,CSS,GPL-3.0+,
3156375,https://github.com/bitmotion/static-info-tables-cs,2018-07-06 07:48:05.000000 UTC,PHP,GPL-2.0+,
2652747,https://github.com/subugoe/typo3-tinyaccordion,2018-02-14 09:41:49.000000 UTC,PHP,GPL-2.0-or-later,
3422482,https://github.com/chinayin/PHPMailer,2018-11-27 09:24:30.000000 UTC,PHP,LGPL-2.1,
3280540,https://github.com/GranadaORM/Granada,2018-10-02 02:20:36.000000 UTC,PHP,"BSD-2-Clause,BSD-3-Clause,BSD-4-Clause","database,orm,Active Record,idiorm,paris,eager-loading"
3397473,https://bitbucket.org/engeni-team/engeni-api-gateway-builder,2018-11-14 04:07:37.000000 UTC,PHP,CNRI-Python-GPL-Compatible,"api,gateway,aws,builder,engeni"
3109950,https://github.com/php-censor/phpdoc-checker,2018-06-30 07:09:58.000000 UTC,PHP,BSD-2-Clause,"phpdoc,php,comment,testing,docblock,checker,code quality,php-censor"
3163207,https://github.com/ghanshyamgohel/cookie_data_privacy,2018-07-11 00:39:42.000000 UTC,HTML,GPL-2.0+,"cookie,typo3,gdpr,dsgvo,cookie_data_privacy,cookie_consent,cookie_cuttr,cookie_law,data_privacy,data_protection,data_law"
3444081,https://github.com/ckeditor/ckeditor5-build-classic,2018-12-05 00:16:26.000000 UTC,HTML,CNRI-Python-GPL-Compatible,"ckeditor5-build,ckeditor,ckeditor5,ckeditor 5,wysiwyg,rich text,editor,html,contentEditable,editing,operational transformation,ot,collaboration,collaborative,real-time,framework"
3312461,https://github.com/assem-ch/django-swagger-ui,2018-10-12 04:28:07.000000 UTC,HTML,DSDP,
3122869,https://github.com/albfernandez/jboss-el,2018-07-02 19:42:57.000000 UTC,Java,LGPL-2.1+,
2815326,https://github.com/ufal/pmltq-command-print-trees,2018-05-16 14:56:32.000000 UTC,Perl,Artistic-1.0-Perl,
3025038,https://github.com/skirmess/Test-Spelling-Comment,2018-06-21 20:46:38.000000 UTC,Perl,BSD-2-Clause-FreeBSD,
3293392,https://github.com/perlancar/perl-App-github-cmd,2018-10-09 10:48:28.000000 UTC,Perl,Artistic-1.0-Perl,
2700661,https://github.com/rust-lang-nursery/chalk,2018-03-22 08:55:55.000000 UTC,Rust,"Apache-2.0,MIT","compiler,traits,prolog"
2655142,https://github.com/clearlycloudy/zpatial,2018-02-18 11:37:24.000000 UTC,Rust,BSD-2-Clause,"zpatial,spatial"
3406950,https://github.com/chooxide/twitter-card,2018-11-17 19:42:50.000000 UTC,Rust,"MIT,Apache-2.0","twitter,meta,social,opengraph,card"
2685815,https://github.com/leinlawun/sig-rs,2018-03-13 20:00:52.000000 UTC,Rust,"MIT,Apache-2.0",
2660408,https://github.com/mgattozzi/lift-fail,2018-02-22 23:45:29.000000 UTC,Rust,"MIT,Apache-2.0","error,fail,failure,lift,lift-fail"
3294394,https://github.com/ORESoftware/typescript-library-skeleton,2018-10-10 00:25:01.000000 UTC,Shell,ICU,"typescript,library,skeleton,scaffold"
3204988,https://github.com/jdalberg/plug_parser_xmlrpc,2018-08-09 07:50:49.000000 UTC,Elixir,Artistic-2.0,
3175308,https://github.com/perl6/nqp,2018-07-18 11:10:22.000000 UTC,Perl 6,Artistic-2.0,
3347713,https://github.com/PMR/pmr.wfctrl,2018-10-23 01:10:33.000000 UTC,Python,GPL-2.0+,
2594844,https://github.com/kynikos/lib.py.forwarg,2018-01-21 10:28:05.000000 UTC,Python,GPL-3.0+,commandline parser
3057315,https://github.com/kosma/art,2018-06-26 01:42:45.000000 UTC,Python,WTFPL,
2663582,https://github.com/pianostringquartet/clarifai-clj,2018-02-28 00:15:32.000000 UTC,Clojure,EPL-1.0,
3412123,https://github.com/lambdaisland/kaocha-cucumber,2018-11-21 00:02:27.000000 UTC,Clojure,EPL-1.0,
2766130,https://github.com/clojure-emacs/piggieback,2018-05-02 00:12:29.000000 UTC,Clojure,EPL-1.0,
2607926,https://github.com/tkocmathla/zipup,2018-02-07 13:46:36.000000 UTC,Clojure,EPL-1.0,
2609097,https://github.com/zhming0/mock-clj,2018-02-07 13:51:48.000000 UTC,Clojure,EPL-1.0,
2845132,https://github.com/SMenigat/electron-release-uploader,2018-05-27 21:37:20.000000 UTC,JavaScript,GPL-2.0-only,
2722125,https://github.com/Triforcey/discord-routes,2018-04-11 00:40:38.000000 UTC,JavaScript,GPL-3.0+,"discord,routing,commands,bot"
2765867,https://github.com/tshihyi/taiwan-invoice,2018-05-01 14:29:29.000000 UTC,JavaScript,Unlicense,"taiwan,invoice"
3353349,https://github.com/zhike-team/apollon-mobile-components,2018-10-24 00:21:06.000000 UTC,TypeScript,Unlicense,"component,library,react,typescript,zhike,apollon"
2912657,https://github.com/NQNStudios/davincibot,2018-06-06 16:33:04.000000 UTC,TypeScript,ICU,"productivity,playfulness,focus,organization"
3286682,https://github.com/deity-io/falcon,2018-10-04 15:06:01.000000 UTC,TypeScript,OSL-3.0,
3232442,https://github.com/hkdnet/slack/examples/users,2018-08-29 01:15:41.000000 UTC,,,
2658366,,2018-02-21 03:39:53.000000 UTC,,,"ads7843,touchpanel,xpt2046"
2977518,https://github.com/daidokoro/go-git/storage/test,2018-06-16 01:27:54.000000 UTC,,,
2672740,,2018-02-28 22:21:18.000000 UTC,,,
3245537,,2018-09-07 18:54:20.000000 UTC,,,
2737540,,2018-04-20 01:12:33.000000 UTC,,,
3021597,https://github.com/creack/ml/week1/web,2018-06-20 01:47:02.000000 UTC,,,
2837469,https://github.com/brstdev35/world,2018-05-24 15:12:57.000000 UTC,,,
3295778,,2018-10-10 00:33:52.000000 UTC,,,
3015069,https://github.com/leonmaia/newmotion-golang/server,2018-06-20 01:38:04.000000 UTC,,,
2609219,https://github.com/Bridg/bridg.util,2018-02-07 13:52:27.000000 UTC,,,
2693971,,2018-03-20 01:03:30.000000 UTC,,,"FontAwesome,heartyplugins,icons,social media,social media icons"
3414381,,2018-11-22 00:08:12.000000 UTC,,,
2952378,,2018-06-13 04:08:45.000000 UTC,,,
3113383,,2018-07-02 15:28:41.000000 UTC,,,
3036545,https://github.com/gysan/FishChatServer/libnet/syncs,2018-06-22 01:39:11.000000 UTC,,,
3194980,https://github.com/gin-gonic/gin/examples/struct-lvl-validations,2018-08-01 01:15:32.000000 UTC,,,
3010437,https://github.com/2matz/echo/engine/fasthttp,2018-06-20 01:29:01.000000 UTC,,,
3070314,,2018-06-28 20:38:26.000000 UTC,,,
2674842,,2018-03-03 17:48:31.000000 UTC,,,
2681767,,2018-03-07 02:28:36.000000 UTC,,,
2837845,,2018-05-25 00:11:09.000000 UTC,,,
2674838,,2018-03-03 17:48:28.000000 UTC,,,
2590493,,2018-01-18 13:20:46.000000 UTC,,,"tester,test,g,testing"
2583528,,2018-01-05 01:06:10.000000 UTC,,,utilities
3430625,,2018-12-02 23:18:08.000000 UTC,,,
2952173,,2018-06-13 00:20:10.000000 UTC,,,
3326757,,2018-10-17 01:10:19.000000 UTC,,,
3027678,https://github.com/kolonse/docker/api/client,2018-06-22 01:24:02.000000 UTC,,,
2849208,https://github.com/gocommons/cli/commands,2018-05-29 01:13:19.000000 UTC,,,
3142621,,2018-07-03 04:18:22.000000 UTC,,,
3434774,,2018-12-04 18:18:07.000000 UTC,,,
2658508,,2018-02-21 03:40:13.000000 UTC,,,"debounce,interruptin,digitalin,fat,file system,nucleo,sd"
3366758,,2018-10-29 01:06:31.000000 UTC,,,"Check Mail,mail tester,Test email,wp-mail,wp_email"
2766379,,2018-05-02 00:19:43.000000 UTC,,,
3423041,,2018-11-27 17:18:12.000000 UTC,,,Library
2860067,https://github.com/superryanguo/docker/pkg/plugins/pluginrpc-gen/fixtures,2018-05-30 01:25:23.000000 UTC,,,
3168148,,2018-07-13 19:43:31.000000 UTC,,,"testing,logging,example"
2590228,,2018-01-18 10:33:28.000000 UTC,,,
3409637,,2018-11-19 20:29:53.000000 UTC,,,"Salesforce,Coveo,C#,Library,Wrapper,SFDX,DX"
3163361,https://github.com/golangchallenge/GCSolutions/march15/normal/jonathan-pentecost/golang-challenge-1-drum_machine,2018-07-11 01:20:18.000000 UTC,,,
3061101,,2018-06-27 11:49:45.000000 UTC,,,
2897298,https://github.com/golang/go/src/go/types,2018-06-05 01:09:40.000000 UTC,,,
2661010,,2018-02-23 22:20:35.000000 UTC,,,
2659166,,2018-02-21 11:20:57.000000 UTC,,,
2755890,https://github.com/cloudfoundry/cli/cf/flagcontext,2018-04-26 01:14:26.000000 UTC,,,
2812092,,2018-05-15 02:32:00.000000 UTC,,,eub client help
2628177,,2018-02-07 15:36:20.000000 UTC,,,
2602322,,2018-02-01 13:19:37.000000 UTC,,,
3127548,,2018-07-02 21:47:43.000000 UTC,,,
3360289,,2018-10-25 20:13:24.000000 UTC,,,"Xamarin,Android,Xamarin.Android,Support"
2604460,,2018-02-04 01:28:36.000000 UTC,,,"mpu9150,file,w5200,mma8452,mpu-6050,accelerometer,mpu60x0,file system,directory listing,folder,gyroscope,wiz820io,servo,mpu6050,sonar,maxsonar,rangefinder,ax12,dynamixel,folder listing,motor,range,file name listing,directory,i2c"
2988206,https://github.com/zimulala/tidb/store/tikv/mock-tikv,2018-06-17 01:20:56.000000 UTC,,,
3000541,,2018-06-18 06:37:20.000000 UTC,,,
3376389,https://github.com/Berkaroad/kubernetes/plugin/pkg/scheduler/factory,2018-11-01 01:23:02.000000 UTC,,,
3387541,,2018-11-08 08:18:07.000000 UTC,,,hq-stack
3173879,,2018-07-17 11:26:26.000000 UTC,,,
3121239,,2018-07-02 19:02:03.000000 UTC,,,
3218831,,2018-08-19 01:02:50.000000 UTC,,,"blocks,card,food recipe,gutenberg,Recipe"
3367580,,2018-10-29 08:40:54.000000 UTC,,,react-native
