zip,borough,post_office,neighborhood,population,density
10001,Manhattan,"New York, NY",Chelsea and Clinton,21102,33959
10002,Manhattan,"New York, NY",Lower East Side,81410,92573
10003,Manhattan,"New York, NY",Lower East Side,56024,97188
10004,Manhattan,"New York, NY",Lower Manhattan,3089,5519
10005,Manhattan,"New York, NY",Lower Manhattan,7135,97048
10006,Manhattan,"New York, NY",Lower Manhattan,3011,32796
10007,Manhattan,"New York, NY",Lower Manhattan,6988,42751
10009,Manhattan,"New York, NY",Lower East Side,61347,99492
10010,Manhattan,"New York, NY",Gramercy Park and Murray Hill,31834,81487
10011,Manhattan,"New York, NY",Chelsea and Clinton,50984,77436
10012,Manhattan,"New York, NY",Greenwich Village and Soho,24090,74517
10013,Manhattan,"New York, NY",Greenwich Village and Soho,27700,50154
10014,Manhattan,"New York, NY",Greenwich Village and Soho,31959,56119
10016,Manhattan,"New York, NY",Gramercy Park and Murray Hill,54183,101814
10017,Manhattan,"New York, NY",Gramercy Park and Murray Hill,16575,51775
10018,Manhattan,"New York, NY",Chelsea and Clinton,5229,16251
10019,Manhattan,"New York, NY",Chelsea and Clinton,42870,63042
10021,Manhattan,"New York, NY",Upper East Side,43631,112711
10022,Manhattan,"New York, NY",Gramercy Park and Murray Hill,31924,73158
10023,Manhattan,"New York, NY",Upper West Side,60998,124357
10024,Manhattan,"New York, NY",Upper West Side,59283,69106
10025,Manhattan,"New York, NY",Upper West Side,94600,125860
10026,Manhattan,"New York, NY",Central Harlem,34003,102315
10027,Manhattan,"New York, NY",Central Harlem,59707,68513
10028,Manhattan,"New York, NY",Upper East Side,45141,143683
10029,Manhattan,"New York, NY",East Harlem,76003,92116
10030,Manhattan,"New York, NY",Central Harlem,26999,96790
10031,Manhattan,"New York, NY",Inwood and Washington Heights,56438,86722
10032,Manhattan,"New York, NY",Inwood and Washington Heights,57331,87199
10033,Manhattan,"New York, NY",Inwood and Washington Heights,53926,89201
10034,Manhattan,"New York, NY",Inwood and Washington Heights,38908,34544
10035,Manhattan,"New York, NY",East Harlem,33969,24329
10036,Manhattan,"New York, NY",Chelsea and Clinton,24711,55745
10037,Manhattan,"New York, NY",Central Harlem,17416,65973
10038,Manhattan,"New York, NY",Lower Manhattan,20300,68214
10039,Manhattan,"New York, NY",Central Harlem,24527,52965
10040,Manhattan,"New York, NY",Inwood and Washington Heights,41905,111184
10044,Manhattan,"New York, NY",Upper East Side,11661,48251
10065,Manhattan,"New York, NY",Upper East Side,32270,83533
10069,Manhattan,"New York, NY",West Side,5199,49908
10075,Manhattan,"New York, NY",Upper East Side,26121,141546
10128,Manhattan,"New York, NY",Upper East Side,60453,128441
10280,Manhattan,"New York, NY",Lower Manhattan,7853,56710
10282,Manhattan,"New York, NY",Tribeca,4783,54674
10301,Staten Island,"Staten Island, NY",Stapleton and St. George,39706,10852
10302,Staten Island,"Staten Island, NY",Port Richmond,19088,15982
10303,Staten Island,"Staten Island, NY",Port Richmond,26337,8395
10304,Staten Island,"Staten Island, NY",Stapleton and St. George,42193,10889
10305,Staten Island,"Staten Island, NY",Stapleton and St. George,41749,9819
10306,Staten Island,"Staten Island, NY",South Shore,55909,7481
10307,Staten Island,"Staten Island, NY",South Shore,14096,7184
10308,Staten Island,"Staten Island, NY",South Shore,27357,13864
10309,Staten Island,"Staten Island, NY",South Shore,32519,4840
10310,Staten Island,"Staten Island, NY",Port Richmond,24962,13903
10312,Staten Island,"Staten Island, NY",South Shore,59304,7723
10314,Staten Island,"Staten Island, NY",Mid-Island,85510,6235
10451,Bronx,"Bronx, NY",High Bridge and Morrisania,45713,45043
10452,Bronx,"Bronx, NY",High Bridge and Morrisania,75371,76548
10453,Bronx,"Bronx, NY",Central Bronx,78309,85491
10454,Bronx,"Bronx, NY",Hunts Point and Mott Haven,37337,35820
10455,Bronx,"Bronx, NY",Hunts Point and Mott Haven,39665,55696
10456,Bronx,"Bronx, NY",High Bridge and Morrisania,86547,84979
10457,Bronx,"Bronx, NY",Central Bronx,70496,66425
10458,Bronx,"Bronx, NY",Bronx Park and Fordham,79492,78784
10459,Bronx,"Bronx, NY",Hunts Point and Mott Haven,47308,57907
10460,Bronx,"Bronx, NY",Central Bronx,57311,43567
10461,Bronx,"Bronx, NY",Southeast Bronx,50502,21045
10462,Bronx,"Bronx, NY",Southeast Bronx,75784,51207
10463,Bronx,"Bronx, NY",Kingsbridge and Riverdale,67970,47002
10464,Bronx,"Bronx, NY",Southeast Bronx,4534,1295
10465,Bronx,"Bronx, NY",Southeast Bronx,42230,12313
10466,Bronx,"Bronx, NY",Northeast Bronx,67813,33601
10467,Bronx,"Bronx, NY",Bronx Park and Fordham,97060,41649
10468,Bronx,"Bronx, NY",Bronx Park and Fordham,76103,70778
10469,Bronx,"Bronx, NY",Northeast Bronx,66631,26903
10470,Bronx,"Bronx, NY",Northeast Bronx,15293,10734
10471,Bronx,"Bronx, NY",Kingsbridge and Riverdale,22922,8878
10472,Bronx,"Bronx, NY",Southeast Bronx,66358,63167
10473,Bronx,"Bronx, NY",Southeast Bronx,58519,26846
10474,Bronx,"Bronx, NY",Hunts Point and Mott Haven,12281,8010
10475,Bronx,"Bronx, NY",Northeast Bronx,40931,23753
11004,Queens,"Glen Oaks, NY",Southeast Queens,14016,14752
11101,Queens,"Long Island City, NY",Northwest Queens,25484,9744
