date,entries,exits
2020-01-01,3128,0
2020-01-02,13707,0
2020-01-03,12507,23
2020-01-04,265,0
2020-01-05,698,0
2020-01-06,14156,0
2020-01-07,14343,0
2020-01-08,14311,0
2020-01-09,14223,0
2020-01-10,13581,0
2020-01-11,277,0
2020-01-12,23,0
2020-01-13,13757,1
2020-01-14,14381,0
2020-01-15,14580,0
2020-01-16,13937,1
2020-01-17,12911,0
2020-01-18,249,0
2020-01-19,383,0
2020-01-20,5322,0
2020-01-21,13728,0
2020-01-22,14081,0
2020-01-23,15416,0
2020-01-24,12838,1
2020-01-25,273,0
2020-01-26,19,0
2020-01-27,13877,1
2020-01-28,15044,0
2020-01-29,14939,0
2020-01-30,14820,0
2020-01-31,11627,82
2020-02-01,258,0
2020-02-02,22,0
2020-02-03,13874,0
2020-02-04,15038,48
2020-02-05,14843,0
2020-02-06,14437,1
2020-02-07,13060,1
2020-02-08,253,0
2020-02-09,21,0
2020-02-10,14048,0
2020-02-11,14490,2
2020-02-12,14105,0
2020-02-13,14532,3
2020-02-14,12591,1
2020-02-15,276,0
2020-02-16,51,0
2020-02-17,4742,0
2020-02-18,13170,0
2020-02-19,13825,0
2020-02-20,13636,0
2020-02-21,11907,14
2020-02-22,2612,0
2020-02-23,1903,0
2020-02-24,14280,44
2020-02-25,14447,36
2020-02-26,14237,19
2020-02-27,14410,1
2020-02-28,12786,0
2020-02-29,2448,0
2020-03-01,1772,0
2020-03-02,13825,10
2020-03-03,14360,0
2020-03-04,14030,0
2020-03-05,14116,0
2020-03-06,12339,0
2020-03-07,2576,0
2020-03-08,1772,0
2020-03-09,12985,0
2020-03-10,12679,1
2020-03-11,12349,1
2020-03-12,11184,2
2020-03-13,8654,0
2020-03-14,2284,0
2020-03-15,1491,0
2020-03-16,6055,0
2020-03-17,4986,0
2020-03-18,4519,0
2020-03-19,3828,0
2020-03-20,3444,0
2020-03-21,1203,0
2020-03-22,781,0
2020-03-23,1954,0
2020-03-24,1968,0
2020-03-25,1803,0
2020-03-26,1784,0
2020-03-27,1694,0
2020-03-28,744,0
2020-03-29,530,0
2020-03-30,1332,0
2020-03-31,1205,0
2020-04-01,845,0
2020-04-02,1022,0
2020-04-03,1016,1
2020-04-04,506,0
2020-04-05,438,0
2020-04-06,958,0
2020-04-07,890,0
2020-04-08,868,0
2020-04-09,794,0
2020-04-10,690,0
2020-04-11,439,0
2020-04-12,361,0
2020-04-13,753,0
2020-04-14,859,0
2020-04-15,908,0
2020-04-16,905,0
2020-04-17,858,0
2020-04-18,415,0
2020-04-19,417,0
2020-04-20,920,0
2020-04-21,870,0
2020-04-22,909,0
2020-04-23,910,0
2020-04-24,854,0
2020-04-25,503,0
2020-04-26,371,0
2020-04-27,939,0
2020-04-28,974,0
2020-04-29,951,0
2020-04-30,895,0
2020-05-01,874,0
2020-05-02,526,0
2020-05-03,412,0
2020-05-04,1049,0
2020-05-05,1018,0
2020-05-06,957,0
2020-05-07,1056,0
2020-05-08,959,0
2020-05-09,540,0
2020-05-10,471,0
2020-05-11,1004,0
2020-05-12,1048,0
2020-05-13,1115,0
2020-05-14,1103,0
2020-05-15,1125,0
2020-05-16,551,0
2020-05-17,447,0
2020-05-18,1187,0
2020-05-19,1220,0
2020-05-20,1169,0
2020-05-21,1206,0
2020-05-22,1191,0
2020-05-23,481,0
2020-05-24,417,0
2020-05-25,531,0
2020-05-26,1371,0
2020-05-27,1385,0
2020-05-28,1383,0
2020-05-29,1229,0
2020-05-30,86,0
2020-05-31,41,0
2020-06-01,1486,0
2020-06-02,1788,12
2020-06-03,1449,0
2020-06-04,1479,0
2020-06-05,1408,0
2020-06-06,73,0
2020-06-07,133,0
2020-06-08,1789,0
2020-06-09,1872,0
2020-06-10,1923,0
2020-06-11,1755,0
2020-06-12,1831,0
2020-06-13,60,0
2020-06-14,52,0
2020-06-15,2051,0
2020-06-16,2078,0
2020-06-17,2018,0
2020-06-18,2146,0
2020-06-19,1909,0
2020-06-20,56,17
2020-06-21,37,11
2020-06-22,2211,0
2020-06-23,2388,0
2020-06-24,2363,0
2020-06-25,2400,0
2020-06-26,2286,0
2020-06-27,743,0
2020-06-28,630,0
2020-06-29,2468,0
2020-06-30,2553,0
2020-07-01,2604,0
2020-07-02,2539,12
2020-07-03,1251,0
2020-07-04,747,0
2020-07-05,563,0
2020-07-06,2400,0
2020-07-07,2609,0
2020-07-08,2700,0
2020-07-09,2755,0
2020-07-10,2367,0
2020-07-11,874,0
2020-07-12,808,0
2020-07-13,2730,0
2020-07-14,2903,0
2020-07-15,2941,0
2020-07-16,3021,0
2020-07-17,2643,0
2020-07-18,832,0
2020-07-19,553,0
2020-07-20,2677,0
2020-07-21,2943,0
2020-07-22,2852,0
2020-07-23,2863,0
2020-07-24,2696,0
2020-07-25,817,0
2020-07-26,586,0
2020-07-27,2800,0
2020-07-28,2806,0
2020-07-29,2926,0
2020-07-30,2902,0
2020-07-31,2592,0
2020-08-01,851,0
2020-08-02,591,0
2020-08-03,2901,11
2020-08-04,1521,0
2020-08-05,2827,0
2020-08-06,3046,0
2020-08-07,2681,0
2020-08-08,782,0
2020-08-09,603,0
2020-08-10,2945,0
2020-08-11,3106,0
2020-08-12,2985,0
2020-08-13,2862,0
2020-08-14,2903,0
2020-08-15,936,0
2020-08-16,506,0
2020-08-17,2971,0
2020-08-18,3212,0
2020-08-19,2993,0
2020-08-20,3168,0
2020-08-21,2957,0
2020-08-22,938,0
2020-08-23,685,0
2020-08-24,2956,0
2020-08-25,3020,0
2020-08-26,3161,0
2020-08-27,3027,0
2020-08-28,2923,0
2020-08-29,866,0
2020-08-30,852,0
2020-08-31,3329,0
2020-09-01,3443,0
2020-09-02,3404,6
2020-09-03,3551,0
2020-09-04,3406,0
2020-09-05,70,0
2020-09-06,195,0
2020-09-07,1293,0
2020-09-08,3752,0
2020-09-09,3825,0
2020-09-10,3546,0
2020-09-11,3627,0
2020-09-12,67,0
2020-09-13,12,0
2020-09-14,3718,0
2020-09-15,3933,0
2020-09-16,3688,0
2020-09-17,3805,0
2020-09-18,3507,0
2020-09-19,1035,0
2020-09-20,831,0
2020-09-21,3714,0
2020-09-22,4024,0
2020-09-23,3845,0
2020-09-24,3986,0
2020-09-25,3845,0
2020-09-26,54,0
2020-09-27,14,0
2020-09-28,3533,0
2020-09-29,3885,0
2020-09-30,3897,0
