,CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
53435,74296682,01/16/2021,01/16/2021,10:45:50,110,QUEENS,PATROL BORO QUEENS NORTH,1014231,210372,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/16/2021 10:45:50 AM,01/16/2021 10:49:07 AM,,01/16/2021 11:24:02 AM,40.744057,-73.891805
8350,74024199,01/03/2021,01/03/2021,12:40:33,106,QUEENS,PATROL BORO QUEENS SOUTH,1030546,188827,75F,VISIBILITY PATROL: FAMILY/HOME VISIT,Non CIP,01/03/2021 12:40:33 PM,01/03/2021 12:40:33 PM,01/03/2021 12:40:33 PM,01/03/2021 12:48:57 PM,40.68485,-73.833075
13614,74056407,01/05/2021,01/05/2021,01:44:25,111,QUEENS,PATROL BORO QUEENS NORTH,1061151,216616,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/05/2021 01:44:25 AM,01/05/2021 01:44:25 AM,01/05/2021 01:44:25 AM,01/05/2021 02:27:45 AM,40.760911,-73.722408
54796,74305055,01/16/2021,01/16/2021,18:56:53,107,QUEENS,PATROL BORO QUEENS SOUTH,1035295,196299,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/16/2021 06:56:53 PM,01/16/2021 06:56:56 PM,,01/16/2021 07:16:41 PM,40.705333,-73.815895
18434,74084902,01/06/2021,01/06/2021,11:36:13,102,QUEENS,PATROL BORO QUEENS SOUTH,1034948,195244,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,01/06/2021 11:36:13 AM,01/06/2021 11:36:13 AM,01/06/2021 11:36:13 AM,01/06/2021 11:38:43 AM,40.702439,-73.817155
90975,74530858,01/27/2021,01/27/2021,13:05:22,104,QUEENS,PATROL BORO QUEENS NORTH,1011739,194259,10K2,INVESTIGATE/POSSIBLE CRIME: KNIFE/OUTSIDE,Non CIP,01/27/2021 01:06:51 PM,01/27/2021 01:08:11 PM,,01/27/2021 01:27:01 PM,40.699838,-73.900864
62382,74352657,01/19/2021,01/19/2021,02:43:48,105,QUEENS,PATROL BORO QUEENS SOUTH,1059786,188107,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/19/2021 02:43:48 AM,01/19/2021 03:02:07 AM,,01/19/2021 03:40:15 AM,40.682673,-73.727655
61875,74349564,01/18/2021,01/18/2021,22:29:58,103,QUEENS,PATROL BORO QUEENS SOUTH,1038917,190884,10H1,INVESTIGATE/POSSIBLE CRIME: CALLS FOR HELP/INSIDE,Non CIP,01/18/2021 10:29:59 PM,01/18/2021 10:30:40 PM,01/18/2021 10:36:00 PM,01/18/2021 10:37:44 PM,40.690449,-73.802876
12518,74049635,01/04/2021,01/04/2021,18:04:10,104,QUEENS,PATROL BORO QUEENS NORTH,1012555,194980,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/04/2021 06:04:10 PM,01/04/2021 06:07:40 PM,01/04/2021 06:10:06 PM,01/04/2021 08:09:56 PM,40.701815,-73.897918
98086,74575673,01/29/2021,01/29/2021,13:43:31,105,QUEENS,PATROL BORO QUEENS SOUTH,1063272,211038,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/29/2021 01:43:31 PM,01/29/2021 01:43:33 PM,,01/29/2021 02:12:22 PM,40.745582,-73.714817
